STOCK CODE	ITEM CODE	ITEM DESCRIPTION	PACKAGING	QTY	CONVF	TOTAL PCS	UNIT PRICE	TOTAL AMOUNT	ART_HIERC1	ART_HIERC2	ART_HIERC3	ART_HIERC4	DESC_CODE	ART_PRODT	S. TEXT	PLANT	WAREHOUSE	STORAGE BIN	WAREHOUSE GROUP	BOX BARCODE	BOX NO	OUT TYPE	OUT HEADER	DATE_TIME
22100610000000001	LBF01501	#0193 STRIPES LONG DRESS asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000210001	1			2022-10-06 11:09:46
22100610000000001	LBF01501	#0193 STRIPES LONG DRESS asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000210002	2			2022-10-06 11:09:46
22100610000000001	LBF01501	#0193 STRIPES LONG DRESS asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000210003	3			2022-10-06 11:09:46
22100610000000001	LBF01501	#0193 STRIPES LONG DRESS asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000210004	4			2022-10-06 11:09:46
22100610000000001	LBF01501	#0193 STRIPES LONG DRESS asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000210005	5			2022-10-06 11:09:46
22100610000000002	LBT01504	#0071 YELLOW SLEEVELESS asstd color	BOX	1	10.00	10	99.00000	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	MARIKINA	MARIKINA	333322000000220001	1			2022-10-06 11:09:46
22100610000000002	LBT01504	#0071 YELLOW SLEEVELESS asstd color	BOX	1	10.00	10	99.00000	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	MARIKINA	MARIKINA	333322000000220002	2			2022-10-06 11:09:46
22100610000000007	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	1	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	KALENTONG	KALENTONG	333322000000270001	1			2022-10-06 11:13:00
22100610000000007	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	0	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	KALENTONG	KALENTONG	333322000000270002	2		CWO2210110000000001	2022-10-06 11:13:00
22100610000000007	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	0	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	KALENTONG	KALENTONG	333322000000270003	3		CWO2210110000000001	2022-10-06 11:13:00
22100610000000007	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	0	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G1	KALENTONG	KALENTONG	333322000000270004	4		CWO2210110000000001	2022-10-06 11:13:00
22101110000000005	KF2KM0367	#00367 B 6INCH KITCHEN KNIFE	BOX	1	72.00	72	48.00000	3456.00000	0200	0201	0222	1843	KF2	FG	W1G1	PL-001	W1-G1	MARIKINA	MARIKINA	333322000000310001	1			2022-10-11 13:03:06
22101110000000006	KF2KM0368	#00368 B 7INCH KITCHEN KNIFE	BOX	1	72.00	72	55.00000	3960.00000	0200	0201	0222	1843	KF2	FG	W1G1	PL-001	W1-G1	PASO DE BLAS	PASO DE BLAS	333322000000320001	1			2022-10-11 13:03:06
22101110000000007	KF2KM0370	#00370 B 6.2INCH KITCHEN KNIFE	BOX	1	72.00	72	50.00000	3600.00000	0200	0201	0222	1843	KF2	FG	W1G1	PL-001	W1-G1	VALENZUELA	VALENZUELA	333322000000330001	1			2022-10-11 13:03:06
22101110000000008	KF2KM0369	#00369 B 8INCH KITCHEN KNIFE	BOX	1	72.00	72	58.00000	4176.00000	0200	0201	0222	1843	KF2	FG	W1G1	PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000340001	1			2022-10-11 13:03:06
22101110000000012	MKG100	ASSORTED MELAMINE TABLEWARE 100	KG	1	125.50	126	80.00000		0100	0101	0102	0104	MKG	FG	CD MKG 3	PL-001	W1-G1	KALENTONG	KALENTONG	333322000000370001	1			2022-10-11 14:28:15
22101110000000012	MKG100	ASSORTED MELAMINE TABLEWARE 100	KG	1	102.56	103	80.00000		0100	0101	0102	0104	MKG	FG	CD MKG 3	PL-001	W1-G1	ANTIPOLO	ANTIPOLO	333322000000370002	2			2022-10-11 14:28:15
22101110000000012	MKG100	ASSORTED MELAMINE TABLEWARE 100	KG	1	121.50	122	80.00000		0100	0101	0102	0104	MKG	FG	CD MKG 3	PL-001	W1-G1	PASO DE BLAS	PASO DE BLAS	333322000000370003	3			2022-10-11 14:28:15
